id,headline,text
uid-11,America Online denies talk of takeover as stock soars,"The price of America Online Inc.'s stock surged again yesterday, but the company denied reports that the company might be a takeover target.</br></br>""We are troubled by the continued speculation about America Online being acquired, because we have already said that it is without substance,"" the company's president and chief executive, Stephen M. Case, said in a statement after the stock market closed.</br></br>America Online's stock rose $8.75 yesterday, closing at $91.50 in trading on the Nasdaq stock market.</br></br>At the end of the year, America Online's stock was trading in the low 50s. But since the end of January, its stock has soared 51 percent.</br></br>""While the company has had informal expressions of interest in the past, we have not received any acquisition offers, and we are not conducting any discussions about being acquired,"" Case said."
uid-12,David Kennedy Prescribes 'Very Tight' Budget,"David M. Kennedy, the next Secretary of the U.S. Treasury, yesterday prescribed a ���very tight"" Federal budget as the cure for inflation���a remedy that he concedes will produce ���somewhat higher"" unemployment in the Nation.</br></br>Kennedy, who will step down as board chairman Chicago's Continental Illinois National Bank and Trust Co. to join President-elect Nixon�۪s Cabinet, appeared before the Senate Finance Committee</br></br>Inflation, he said, is the central problem of the economy and ���I think it's very important that we have a very tight budget on the expenditure side.�۝ ���The effort would be to take the inflationary steam out of the economy with a minimum of increase in unemployment,""</br></br>Kennedy said. But, yes, he added, unemployment would ""surely be somewhat higher than the present rate.""</br></br>How much higher is an impossible question at this point, the Secretary-designate said. ""I don't like to get into percentages because you�۪re dealing with human beings,�۝ he said."
uid-13,President Blames Senate Democrats for Recession: Citing Resistance to ...,"NEW YORK, Nov. 12���Presi-de'nt Bush, on the political defensive as! he begins his reelection drive, today put the blame for the recession on Senate Democrats and offered a stew of remedies that mixed everything from tort reform to a plia to credit card firms to drop thtir interest rates.</br></br>fn the third of a series of Bush-Qqayle fund-raising events. Bush portrayed himself as having a full program to deal with the nation's ills anti said the Democrats have resisted that program at every turn.</br></br>In a broadside at Congress, Bush said the American people ""have seen Congress up close and they�۪ve seen their inability to move when Americans demand action.�۝ he accused Congress of an ���endless appetite for sideshows that have really kind of embarrassed our country"" and of ���overindulgence in pehts and privileges.�۝ Pounding the leijtem, he insisted, ���I�۪m not going to; be the javelin-catcher for the liberals in Congress anymore.�۝</br></br>On the economy, Bush said what the nation needs is ""confidence"" and he offered one suggestion that was new for him. ���I would like to see those credit card rates go down,"" he said, adding he had discussed the idea with business executives. He called again for his capital gains tax cut and blamed Senate Majority Leader George J. Mitchell (D-Maine) for stopping it and thus causing the recession.</br></br>Noting there were enough votes to pass it in 1989, Bush said, ""It took a last-minute political maneuver by Senator Mitchell to block the package.�۝ Mitchell, he said, ""got that political victory and eight months later our economy slipped into a recession."""
uid-14,"One Year Later: Despite Dire Forecasts, The 1986 Tax Revision Inflicts Little Damage --- Capital Spending Holds Up, As Do Charitable Gifts; But Tax Shelters Dwindle --- Some Benefits Still to Come","WASHINGTON -- General Motors Corp. Chairman Roger Smith, who was criticized last year by fellow industrialists for enthusiastically backing tax overhaul, now feels vindicated. ""All the bad things that people predicted would happen, didn't happen,"" he says.</br></br>""I can't really disagree with that,"" admits Charls Walker, a heavy-industry lobbyist who a year ago predicted that the law, which slashed tax rates and trimmed deductions and credits, might cause a recession. ""I thought it would have had a bigger impact by now.""</br></br>Today, exactly one year after President Reagan signed the Tax Reform Act of 1986, the law still sparks controversy, however. Some critics of the legislation are blaming it for the recent stock-market plunge, which could stall economic growth. Kenneth Hagerty, a lobbyist for the venture-capital industry, has already started making rounds on Capitol Hill, arguing that the elimination of the tax break for long-term capital gains contributed to the crash.</br></br>But it now seems clear that the dire economic consequences of the tax overhaul were greatly exaggerated. The economy's surprising strength over the past year suggests that recent problems have little to do with that sweeping legislation. ""There will be people who say tax reform caused the market drop,"" says Joseph Minarik, an economist at the Urban Institute, ""but that's ridiculous.""</br></br>Indeed, whatever the ultimate effects of the market's plunge, it will probably serve to reinforce the basic lesson of the past 12 months: that the economic impact of even radical tax changes can easily be overwhelmed by other events."
uid-15,It's Too Early to Put GE's Welch In the Managers Hall of Fame,"One of the big problems that most of us have in life is that we never get to read our own obituaries, which would be our best chance to see people saying nice things about us. But high-profile corporate chieftains who announce their departures don't have this problem. They get to hear all that nice stuff while they're still around, because retirement stories strongly resemble obits, except that the subject is still alive and kicking. As witness the gushing and slobbering over General Electric Co. Chairman Jack Welch last week after he mentioned on a TV show that he plans to retire in April 2001. Welch would then be 65, and he would have had a nice, round 20 years at the helm of GE.</br></br>Welch, the highest-profile corporate manager in the world--not to be confused with Microsoft Corp.'s Bill Gates, who's a founder, not merely a manager--is one of those people who make you feel good about subscribing to the Great Man Theory of business: the idea that one person can make a huge difference. No matter how much of Welch's success you ascribe to historical forces and luck--the economy was dead in the water, with interest rates at 20 percent, when he took over, and it is roaring ahead now--it's clear that a good part of what's happened at GE since Welch took over in 1981 must have a lot to do with the man and the people he picked as subordinates. GE's stock price has risen from $4.18 3/4 (adjusted for four stock splits) on March 31, 1981, the day before he took over, to $134 yesterday. That 3,100 percent increase is more than triple the 900 percent rise in the Standard & Poor's 500-stock index during that period. GE stock has risen 20.5 percent a year, compounded, compared with 13.2 for the S&P.</br></br>But even as the encomiums pile up for Welch, known as ""Neutron Jack"" in his younger days for vaporizing jobs while leaving buildings intact, it's time to play my traditional role as skunk at the garden party. Welch is clearly very, very, very good. But as effective as his leadership has been in helping GE transform itself from an old- line industrial company into a sleek, finance-oriented conglomerate, it's not yet clear how good a manager Welch is. How can I say that? Because picking a worthy successor is one of the most vital elements of managing. Since we don't know who Welch's successor is or how worthy he (all the leading candidates are men) will prove to be, I think it's too early to call Welch a management god.</br></br>This may sound like nitpicking, but please bear with me. Consider, if you will, what's happened to Coca-Cola Co. since the charismatic and wonderfully well-regarded Roberto Goizueta died in 1997. He was on the same level as Welch in the business pantheon. But Goizueta's handpicked successor, Douglas Ivester, has had nothing but trouble since taking over the Coke chairmanship. Similar fates have befallen the people who succeeded two other well-regarded, visionary corporate chieftains: Charles Lazarus, who retired as Toys R Us Inc. chief executive in 1994, and Anthony O'Reilly, who retired from H.J. Heinz Co. last year. Lazarus and O'Reilly were good leaders--but not, in my humble opinion, good managers. It's a bad reflection on them that their successors all seem to have had feet of clay. Hmm. It makes you wonder whether these guys were really as good as they seemed to be when they left office. And whether they'd have had trouble if they'd stayed around.</br></br>Why does this matter? Because it's important to keep perspective and not get swept away by conventional wisdom. Reporting about the personalities and peccadilloes of corporate managers has in large part replaced reporting about the corporations they run--both in the media world and on Wall Street. That's partly because people are generally more interesting than companies, partly because they're easier to analyze."
uid-16,"Productivity Falls 1.7 Percent, Its Biggest Decline Since 1981","Business productivity in the second quarter deteriorated at a rate unequalled since 1981, the government reported yesterday, prompting some analysts to predict major troubles ahead for the economy's competitive vigor.</br></br>The efficiency of nonfarm businesses in producing goods and services declined 1.7 percent in April through June, its first decrease since 1986 and the biggest decline since 1981, the Labor Department's Bureau of Labor Statistics said.</br></br>Productivity had risen at an annual rate of 3.4 percent in the first three months of 1988, and had been improving at a rate of 1 percent to 2 percent annually in the previous three years.</br></br>Reflecting the strong economic expansion, output of goods and services by those businesses responsible for three-fourths of U.S. economic activity rose 4.7 percent in the second quarter.</br></br>But to achieve that growth, companies increased work hours by 6.5 percent, hiring hundreds of thousands of people to send the unemployment rate to a 14-year low of 5.3 percent."
uid-17,"Washington, on a Scale of 1 to ...","Is Washington just a nice place to visit, or should you be glad you're living here, too? It all depends on how you add up the numbers-and which numbers you choose in the first place.</br></br>The D.C. metro area scored an impressive 17th in the most recent edition of Places Rated Almanac, a result of its ""outstanding array"" of cultural, educational and medical facilities outweighing the high housing costs and crime rate. Another positive factor was a climate that is, believe it or not, considered relatively benign.</br></br>But when three economists-Mark Berger and Glenn Blomquist at the University of Kentucky and John Hoehn at Michigan State University-measured a different set of quality-of-life indicators in what they say is a less subjective fashion, the District did considerably poorer: 155th. That's behind such places as Lubbock, Tex., Erie, Pa., and Atlantic County, N.J., home of Atlantic City.</br></br>Part of the reasons for the difference in D.C.'s score, the economists say, lies in how a community is perceived. When a decision is made to relocate, relatively few people are influenced by the presence of major medical centers, a university or even cultural attractions. Factors such as climate, the quality of secondary schools and the crime rate are much more significant in deciding between cities or even certain parts of one city.</br></br>In other words, it's nice to have the Smithsonian here, but would you pay more for your housing or take a cut in salary because of it? Probably not, although the economists argue that is what the Places Rated ranking implies. On the other hand, the trio places a good deal of emphasis on crime rates, which are a major influence when choosing a city or neighborhood."
uid-18,Would Cut Deficit by $5 Billion: Tax Payment Speedup Sought To Cut Deficit by $5 Billion,"President Carter called on the nation�۪s large corporations yesterday to speed up withholding tax payments in an attempt to trim nearly So billion from the budget deficit in fiscal 1981.</br></br>Carter revealed the payment scheme as part of the $615.8 billion budget he sent to Congress. Without the faster tax payments, the proposed $15.8 billion deficit for fiscal 1981 would jump to $20.3 billion.</br></br>Under the Carter plan, many businesses will have to pay withholding taxes earlier���erasing an opportunity for short-term investment of the funds.</br></br>Just as banks have reduced the ���float�۝ time between the date when a check is written and finally cashed. Uncle Sam�۪s financial people have been studying what the Office of Management and Budget calls ���cash management.�۝</br></br>Businesses will be affected primarily by two changes���one requiring congressional sanction and one that can be accomplished by administrative action: �ۢEarlier employer deposit of withheld income and payroll taxes and the employer share of payroll taxes���This step, which does not require congressional action, affects large employers and will be phased in during calendar years 1981 and 1982. Small companies, on the other hand, will face less of a burden; About 550,000 of the smallest; firms (quarterly withheld taxes of less than $1,000) will pay quarterly in the future while 980,000 employers with quarterly withheld taxes of $1,000 to $13,000 will make one deposit a month."
uid-19,Manager's journal: America's corporations should swear off pork,"Earlier this month an ad appeared in this newspaper entitled ""Declaration of Independence: End Corporate Welfare."" It was signed by 61 top Silicon Valley executives, including me. In calling for government to end corporate pork-barrel politics, we were taking a moral stand.</br></br>The first Americans hated taxes; the Constitution limited government and, originally, banned levies on personal income. For the first two centuries of our nation, the common man became better off more quickly than any other time in history. Per capita U.S. gross domestic product grew to $28,540 in 1996 from just $919 (in 1996 dollars) in 1776. Mankind took 30,000 years to get to $919, but only 220 more years to reach $28,540. But today the American Dream is being eroded. Since 1976 annual GDP growth per capita (expressed as a 20-year rolling average) has steadily declined, to 1.5% from 2.5%. Why? In part because federal, state and local taxes now consume a whopping 35% of our national output. Current peacetime spending is higher than the 29% peak during World War I; the all-time record was 49% during World War II.</br></br>American companies should lead in the reduction of destructive government spending. Eliminating corporate welfare is a moral imperative: We should not be asking senior citizens and the poor to tighten their belts while our government is, actually subsidizes the sale of American chardonnay to the French.</br></br>Taxing and spending to support U.S. industry creates a vicious circle. With corporate taxes high, companies lobby for give-backs to remain competitive. Congress faces extreme pressure to ""bring home the pork"" to home-state corporations. That requires even higher taxes -- and the circle continues.</br></br>Corporate subsidies are often known by euphemisms such as ""government investments"" or ""government-industry partnerships."" Such Washington-speak notwithstanding, Americans are compelled to pay for silly programs like the proposal by the Commerce Department's Advanced Technology Program to genetically re-engineer cotton, making its fibers more like polyester. Technology subsidies to corporations are sold using technobabble to camouflage unjustifiable investments, which typically fall into four categories:"
uid-20,DIGEST,"Sales of new homes tumbled 5.8 percent in April while a key index of future economic activity slipped 0.1 percent, two signs that the Federal Reserve's higher interest rates are beginning to slow the economy. The Commerce Department said sales of new single-family homes edged down to an annual rate of 909,000 last month in the biggest one-month drop since a 7.2 percent decrease in September. Meanwhile, the index of leading economic indicators declined by 0.1 percent last month, according to the Conference Board in New York.</br></br>Virginia's jobless rate dropped to 2.3 percent in April, only the third time the rate has been that low in more than 30 years, the Virginia Employment Commission said. The rate dropped from 2.5 percent in March and was far below the national jobless rate of 3.7 percent in April. The number of Virginians looking for work declined from 91,500 in March to 82,000 in April. Fairfax City had the lowest jobless rate at 0.6 percent, followed by the city of Bedford at 0.7 percent. Manassas Park and Greene, Rockingham and Loudoun counties had rates of 0.9 percent.</br></br>AT&T, which is trying to become the largest U.S. cable-TV provider through acquisitions, plans to carry the Hot Network, a pay-per-view channel that shows sexually explicit movies. Financial terms were not disclosed. The channel is owned by Hot Networks, a privately owned company that also operates the Hot Zone, another sex-oriented channel.</br></br>Brown Brothers, Harriman, the oldest privately held U.S. bank, said it will exit the brokerage business to focus on managing money for wealthy individuals. Brown Brothers, founded in 1818, will fire 78 analysts, traders and support staff from among the 125 people who work in its institutional brokerage business.</br></br>Sunterra, operator of 90 time-share resorts in North America, Europe and Asia, said it filed for Chapter 11 bankruptcy-court protection from its creditors after recent losses and debt-payment problems. Orlando-based Sunterra, which employed 7,800 people at the end of December, said last week that it will fire more than 900 workers and cut costs by halting sales at some resorts."
uid-21,Don�۪t Leave Your Bonds at Wall Street�۪s Beck and Call,"On Wall Street, it�۪s the Year of the Call���and for income investors, the Year of the Bawl. Falling interest rates are pulling the rug out from under folks who thought they had locked up high income for life.</br></br>Billions of dollars worth of high-income bonds are likely to be ���called in,�۝ or retired, this year���much earlier than most investors had expected. They�۪ll be replaced with securities paying lower rates.</br></br>What investments are at risk? Anything paying 2 percentage points or more above current interest rates.</br></br>You�۪ve been hit���or soon will be��� whether you own individual bonds or shares in income mutual funds and unit trusts. High-income unit trusts could be hammered the hardest because, unlike mutual funds, they cannot easily sell off bonds that are vulnerable to an early call. So the trusts are likely to lose some of the profits that they���and you���expected from the investment.</br></br>What do you lose when a bond is called? First, you lose the double-digit income that has been adding a little luxury to your life."
uid-22,Number of Imperiled Agricultural Banks Has Declined Recently Due to U.S. Aid,"The number of agricultural banks headed toward failure appears to have peaked, largely because of massive federal farm subsidies and other government help.</br></br>But while the number of imperiled farm banks has declined in recent quarters, economists, bankers and bank regulators say they don't expect any substantial improvement in the agricultural economy soon.</br></br>Indeed, should the government pare its huge support package for farmers and their lenders -- including subsidies, regulator forbearance for troubled banks, and holding farm land off the market -- agriculture could head into another tailspin. ""The government programs, in a number of ways, are serving to stablize conditions,"" said Mark Drabenstott, an economist at the Federal Reserve Bank of Kansas City, Mo.</br></br>Federal subsidies are expected to account this year for nearly three-fourths of farmers' incomes nationwide, which Mr. Drabenstott estimates at about $35 billion.</br></br>That infusion of money is helping many farmers and, thus, lenders hang on. According to the latest Federal Reserve Board data compiled by Veribanc Inc., a Woburn, Mass., consulting concern, the number of farm banks likely to fail has been declining since a year ago."
